linie;bahnhof;fahrzeit_min;lat;lon
GTFS;Biessenhofen;75;47.82996;10.64047
GTFS;Farchant;75;47.53097;11.11486
GTFS;Walleshausen;75;48.15022;10.98100
GTFS;Dinkelscherben;76;48.34222;10.58800
GTFS;Osterhofen(Oberbay);76;47.68766;11.98688
GTFS;Adelschlag;77;48.84076;11.21144
GTFS;Stetten(Schwab);77;48.02766;10.43604
GTFS;Traunstein;77;47.86973;12.63880
GTFS;Landau(Isar);78;48.68289;12.69506
GTFS;Neuötting;78;48.26116;12.69043
GTFS;Bergen(Oberbay);79;47.82527;12.59285
GTFS;Bayrischzell;80;47.67554;12.01116
GTFS;Tannheim(Württ);81;47.99495;10.09692
GTFS;Allersberg(Rothsee);82;49.26213;11.21257
GTFS;Eichstätt Bahnhof;82;48.86988;11.16365
GTFS;Freihalden;83;48.38470;10.50220
GTFS;Otting-Weilheim;83;48.88087;10.81893
GTFS;Regensburg Hbf;83;49.01167;12.09962
GTFS;Bäumenheim;84;48.68033;10.80997
GTFS;Sontheim(Schwab);84;48.01181;10.34694
GTFS;Wallersdorf;84;48.74064;12.74346
GTFS;Klais;86;47.48303;11.23859
GTFS;Marstetten-Aitrach;86;47.94356;10.08017
GTFS;St Ottilien;86;48.09454;11.04839
GTFS;Günzach;87;47.81960;10.43956
GTFS;Jettingen;87;48.39912;10.44547
GTFS;Marktl;87;48.25670;12.85248
GTFS;Dollnstein;89;48.87143;11.07901
GTFS;Burgau(Schwab);90;48.42480;10.42701
